Assignment Code Pattern	User-Friendly Interpretation
OFF	OFF
NSLIJ:DM:IM:Vacation	Vacation
NSLIJ:DM:IM:LOA-Medical	LOA (Medical)
NSLIJ:DM:IM:Clinic-	Clinic [Number/Name]
NSLIJ:DM:IM:Board-Prep	Board Prep
NSLIJ:DM:PULM:MICU-LIJ-N	LIJ MICU Night
NSLIJ:DM:PULM:MICU-LIJ-Sw-PM	LIJ MICU Swing Night
NSLIJ:DM:PULM:MICU-LIJ-Sw-G	LIJ MICU Swing Green
NSLIJ:DM:PULM:MICU-LIJ-Sw-Y	LIJ MICU Swing Yellow
NSLIJ:DM:PULM:MICU-LIJ-G2-Sh	LIJ MICU Green 2 Short
NSLIJ:DM:PULM:MICU-LIJ-G2-L	LIJ MICU Green 2 Long
NSLIJ:DM:PULM:MICU-NS-N	NS MICU Night
NSLIJ:DM:PULM:MICU-NS-Sw-PM	NS MICU Swing Night
NSLIJ:DM:PULM:MICU-NS-Sw-G	NS MICU Swing Green
NSLIJ:DM:PULM:MICU-NS-Sw-Y	NS MICU Swing Yellow
NSLIJ:DM:PULM:MICU-NS-G2-Sh	NS MICU Green 2 Short
NSLIJ:DM:PULM:MICU-NS-G2-L	NS MICU Green 2 Long
NSLIJ:DM:PULM:MICU-NS-Y2-Sh	NS MICU Yellow 2 Short
NSLIJ:DM:PULM:MICU-NS-Y2-L	NS MICU Yellow 2 Long
NSLIJ:DM:IM:Team-NS-S	NS Team [Number] Short
NSLIJ:DM:IM:Team-NS-L	NS Team [Number] Long
NSLIJ:DM:IM:Team-NS-SO	NS Team [Number] Short (SO assumed typo)
NSLIJ:DM:IM:Team-LIJ-S	LIJ Team [Number] Short
NSLIJ:DM:IM:Team-LIJ-L	LIJ Team [Number] Long
NSLIJ:DM:IM:Team-LIJ-SO	LIJ Team [Number] Short (SO assumed typo)
NSLIJ:DM:IM:MAR-NS-AM	NS MAR Days
NSLIJ:DM:IM:MAR-NS-PM	NS MAR Nights
NSLIJ:DM:IM:MAR-NS-Sw-AM	NS MAR Swing Days
NSLIJ:DM:IM:MAR-NS-Sw-PM	NS MAR Swing Nights
NSLIJ:DM:IM:MAR-LIJ-AM	LIJ MAR Days
NSLIJ:DM:IM:MAR-LIJ-PM	LIJ MAR Nights
NSLIJ:DM:IM:MAR-LIJ-Sw-AM	LIJ MAR Swing Days
NSLIJ:DM:IM:MAR-LIJ-Sw-PM	LIJ MAR Swing Nights
DN:Neuro	Neuro
DN:Neuro-Consult	Neuro Consult
NSLIJ:DM:IM:Chief	Chief Duty
El-Research	Research Elective
EI-Pulm-LIJ	LIJ Pulm Elective
EI-Pulm-NS	NS Pulm Elective
EI-Rheum-LIJ	LIJ Rheum Elective
EI-Rheum-NS	NS Rheum Elective
EI-Endo-LIJ	LIJ Endo Elective
EI-Endo-NS	NS Endo Elective
EI-Renal-LIJ	LIJ Renal Elective
EI-Renal-NS	NS Renal Elective
EI-US-NS	NS Ultrasound Elective
CARD:El-Cards-LIJ	LIJ Cards Elective
CARD:El-Cards-Ep	Cards EP Elective
CARD:El-Cath	Cards Cath Elective
CARD:CCU-NS-D	NS CCU (Day)
NSLIJ:DM:IM:Uganda	Uganda Elective
NSLIJ:DM:GERI:El-Geri	Geri Elective
NSLIJ:DM:GI:El-GI-LIJ	LIJ GI Elective
NSLIJ:DM:GI:El-GI-NS	NS GI Elective
NSLIJ:DM:HO:El-HemOnc-NS	NS Hem/Onc Elective
NSLIJ:DM:ID:El-ID-NS	NS ID Elective
NSLIJ:DM:IM:El-Procedure-LIJ	LIJ Procedure Elective
NSLIJ:DM:IM:El-Pri-Care	Primary Care Elective
NSLIJ:DM:IM:Valley-Stream-...	Valley Stream Pulm Elective
NSLIJ:DM:PULM:El-Pulm-NS	NS Pulm Elective
